69.143.116.98,80
65.37.53.228,132
178.154.163.29,42
69.255.118.66,213
207.46.199.51,3
38.99.96.101,305
75.192.246.196,289
63.160.106.254,29005
69.243.13.145,140
207.46.195.227,2
98.204.104.208,342
208.81.216.8,139
134.192.250.13,64
207.46.195.233,1
207.46.199.185,7
205.254.147.8,2
70.167.158.162,128
147.126.170.34,65
74.102.30.7,9
207.46.12.237,4
207.46.199.199,4
65.52.49.75,3
66.240.13.9,79
123.125.66.123,2
97.119.104.75,2
66.249.71.121,3
71.166.107.3,140
208.109.236.159,1
198.99.32.5,393
74.103.36.138,320
96.244.146.116,158
98.204.75.135,79
199.173.225.25,30
96.42.65.254,188
98.196.98.250,188
68.33.215.102,158
66.235.124.11,20
67.195.111.167,368
165.125.144.131,1
24.60.153.187,188
69.143.97.89,79
66.249.71.57,89
98.218.48.214,143
173.79.235.234,64
59.56.108.111,23
207.46.195.241,3
71.200.74.24,228
98.231.83.243,188
74.96.12.253,9
38.114.82.101,184
108.3.145.131,158
74.46.216.115,147
207.46.199.177,3
69.246.252.233,187
66.249.71.165,2
206.53.153.134,143
123.125.66.67,1
207.46.13.99,3
207.46.13.89,4
24.126.64.21,43
207.46.13.84,3
24.112.146.81,186
207.46.204.197,2
66.249.71.200,191
207.46.195.107,4
184.1.72.84,197
76.22.70.226,188
70.22.1.76,290
207.46.199.183,3
66.235.124.132,628
66.249.71.112,9
71.23.215.232,214
67.195.112.157,136
184.33.6.119,74
207.46.195.105,2
76.111.94.208,79
67.195.114.54,135
208.54.35.91,74
208.54.35.37,4
173.79.152.13,225
65.195.225.186,1
12.54.217.34,1
173.61.206.174,1
76.116.48.198,145
199.173.225.33,2
97.90.239.130,79
97.73.64.147,97
68.33.248.44,158
71.214.108.34,195
207.46.199.179,6
207.46.199.178,6
112.205.86.128,164
98.233.53.105,83
219.99.129.158,73
66.176.89.229,75
70.251.108.196,197
98.116.89.159,140
69.244.234.80,192
70.22.22.56,79
123.125.66.92,3
138.88.48.208,1
72.81.255.103,63
24.35.83.56,365
65.55.37.183,19
108.12.169.223,3
184.19.129.197,22
162.83.52.24,2
67.20.168.241,24
174.49.223.2,214
74.46.215.57,68
69.251.144.10,380
108.3.180.102,553
74.106.230.30,196
71.228.215.137,141
12.159.172.179,186
207.46.199.180,1
98.233.224.22,698
108.25.35.62,158
98.233.179.53,158
207.46.13.87,1
72.40.98.165,65
207.46.13.138,1
207.46.204.242,2
71.213.200.174,225
71.206.25.34,214
207.255.179.186,277
70.109.65.17,260
68.8.232.232,184
98.232.187.114,65
74.131.33.147,59
123.125.66.37,1
173.10.139.205,80
69.255.160.171,38
69.102.207.114,1
69.207.114.102,1
124.115.4.196,1
123.125.66.87,1
65.55.67.215,1
207.46.204.243,8
12.110.112.254,5
173.79.52.98,474
76.100.98.132,79
207.46.199.193,9
96.244.66.91,77
68.54.173.95,154
68.55.221.152,152
207.46.199.40,2
66.235.124.59,2
207.46.204.190,4
207.46.204.244,1
119.63.198.57,1
119.63.198.47,1
170.232.128.10,2
69.250.29.214,477
207.46.199.50,3
24.140.170.185,125
207.46.12.238,1
89.149.244.240,1
66.233.228.31,78
173.69.172.105,59
207.46.204.231,1
209.99.19.8,10
123.125.66.97,1
96.234.234.116,80
207.46.12.241,2
67.234.69.191,212
68.33.27.253,78
24.126.69.92,73
166.203.156.15,79
173.67.36.236,80
173.69.153.207,145
68.55.81.98,205
99.233.154.119,1
207.46.204.230,1
108.3.243.249,222
72.29.201.10,2
67.83.46.37,223
208.95.69.49,140
75.197.95.252,81
98.204.254.246,207
207.46.12.239,2
75.192.37.176,158
68.190.114.233,1
76.95.163.73,129
69.255.110.147,79
207.46.195.229,2
66.235.124.54,5
98.233.201.249,374
65.116.17.162,25
12.159.169.4,11
65.52.51.178,2
66.235.124.56,1
207.46.13.41,5
207.46.199.37,1
207.46.204.188,2
68.49.114.37,129
67.71.28.134,3
76.111.189.97,56
123.125.66.80,3
72.30.161.236,17
76.118.10.63,133
207.46.204.237,2
206.205.249.5,207
207.46.195.223,4
66.249.85.1,2
68.193.31.223,757
121.138.194.106,1
76.123.7.105,137
166.203.106.121,61
209.135.35.83,217
74.107.97.181,2
69.250.177.84,215
24.192.89.111,188
207.46.194.134,2
70.16.13.61,4
173.67.19.186,3
119.63.198.106,1
72.23.70.21,83
24.145.74.94,14
74.106.86.231,80
69.143.64.16,160
124.115.0.27,2
76.114.136.27,79
96.244.92.247,158
72.63.220.35,2
69.140.185.241,134
74.99.65.139,184
173.67.9.219,1
24.2.114.64,198
72.109.70.13,78
123.125.66.124,1
99.63.187.85,188
